,0,USA,CHN,DEU,FRA,GBR,JPN,KOR,ITA,ESP,IND,BRA,RUS,CAN
0,35.731068793430275,12.153097341669607,4.516785712301074,9.767821603991354,5.464938637098955,4.5493900507580545,9.23021337955551,2.5499913304794646,4.416895565250686,1.8140698934461594,0.7489541690659806,1.0339427872482618,1.1471348498705036,3.7548624788839158
1,34.860346945058765,12.32489564461621,4.521106196244603,9.305592873595756,5.284696221570838,4.665912138421728,8.19471174582443,2.4824742288540382,4.489975839878112,1.883599906566218,0.7810284395600766,1.0079822135827532,1.7440393668908558,3.7677991875520553
2,33.53016271451102,12.940778665309502,4.992618453906865,8.897691323721707,5.084357443300884,4.680672780800488,8.013115856492563,2.496376725222288,4.159311615774946,1.8614617154396544,0.7946410599632285,1.0449228548003258,1.632954031882103,3.808350421046295
3,35.573913256292926,12.957337017268589,5.045336540365947,9.456512669625463,5.436520641899653,4.63830831016433,7.529475679691075,2.5640193866049925,4.308723235013184,2.00087046761781,0.7743845468848982,1.0227143167603956,1.4826120392376578,3.839490285230559
4,34.436960723796496,12.704347047981635,5.440450898210986,9.179432759944852,5.287408892575068,4.516457091064579,7.708191717328952,2.6890782428255,4.019873163187552,1.9516262592468498,0.7834324958691318,0.9155263135991989,1.4397569676991686,4.060258553385843
5,31.38201752135958,12.407431051729192,6.018082605488824,8.229349050235118,4.6526375967854605,4.241388436568193,7.9028772445882,2.8884104479731993,3.6181551627504582,1.7622689351023006,0.7893564591257164,0.9311777698610654,1.6850074646164348,4.143465314345093
6,33.14982927521815,11.90381764878932,6.427034784727439,8.836223132202397,4.813792834675741,4.21609539023881,7.0875260951501176,2.675392710784914,3.7888296694041874,1.824252346943851,0.8295360915433657,1.0189148767980403,1.6838472025146964,3.9798476698045433
7,34.038714880061974,10.78354154637409,7.368139812655676,9.132928611897865,4.777584919404577,4.025778630729252,6.942246244031643,2.7637075235242894,3.7836183963282863,1.9113081710622897,0.9158849781349981,1.0110754447351011,1.6773284105984416,3.6898049454035298
8,34.76395116941445,9.72867397381282,7.993551551304598,9.378065238933358,4.799292739480849,3.7470343536830035,6.762941982350706,2.8787975186065373,3.77523037081965,2.0049534190668385,0.9681822752306234,1.0661611224854028,1.842249846548406,3.4237820935845695
9,34.21344726133783,9.026698460078658,8.588604576390841,9.32617935637034,4.550285187608764,3.565400467159787,6.641330820441278,3.051386986334524,3.6660649717549574,1.9499381431125622,1.0441828240342816,1.1632280083809887,2.1259633213934515,3.34017895053808
10,33.0216360428439,8.62104408652774,9.350052887707076,8.965780894350086,4.21918821337721,3.403261312586684,6.215706914920995,2.951936131410143,3.452784752012799,1.8626029270686744,1.1265483517641757,1.255406912091869,2.3852303139502204,3.3386593538613174
11,32.4534384222637,8.527919447665615,9.953270007552414,8.81574950946743,4.107947584021476,3.1843850751081364,5.810997808308074,3.063706940222695,3.3582282352450856,1.8079255952437503,1.1812011669941749,1.245069492523576,2.482161616886129,3.1110895469952555
12,32.38491713975936,8.226453129176667,10.605183190991758,8.808258436043532,3.936124063985054,3.0569557524322346,5.522784858793509,2.9869295393078614,3.43210107560021,1.8083336652587403,1.2599353765223165,1.2898653106697946,2.5234014209342086,2.894893138782578
13,31.27625361385094,7.966310466585709,10.625130625488332,8.403546532738543,3.794601054800865,2.832173468043357,5.216764644953386,2.903713676722388,3.2253145077785326,1.7219036369747036,1.3686090705730953,1.3414873569591004,2.6674596942563444,2.7461796220619847
14,31.434296002552664,8.103610629645198,11.722973047549402,8.419153539752788,3.893641849752866,2.756944588799571,5.123693330598305,3.2403365060879112,3.1918223510902934,1.7737132187533862,1.545241885930224,1.3408820243721686,2.510534793151532,2.4456662490031733
15,28.98157692428485,7.98587846934128,12.51510811482943,7.88528020452017,3.4122593651251676,2.5524693465982566,5.434500871795642,3.3584206259130873,2.8807799590047347,1.6236501128704264,1.6312292214617834,1.436236414114269,2.624846628336428,2.502173993026822
16,28.643820187567247,7.798882183255172,12.12196016557796,7.743907826490639,3.240684325695986,2.4628961051526455,4.873506615493133,3.3007653339713725,2.828385880846758,1.5984580348724666,1.7326080837542706,1.4968250648854087,2.80651324645694,2.431174477587736
17,27.20170038993387,8.082498167913224,12.645351725109617,7.358968949120899,3.150792276581007,2.4292954641124553,4.788955026572546,3.2072297238593617,2.7095859537657443,1.549412519640253,1.6588785501734582,1.4182160759911435,2.8430157116501524,2.446594933155451
18,27.822480655369368,8.046556569708033,12.77919190717642,7.48015453931943,3.159873643096415,2.428545033932185,4.28493569770338,3.2151117315986646,2.74065813459412,1.63719807684361,1.7024585816194093,1.3469806541991116,2.7463973639867496,2.5032988055079994
19,28.265398531274087,8.269299143149697,13.35930790651827,7.642798737945261,3.2079157790976884,2.534373661456962,4.105040954892686,3.2195134325261723,2.7754857590661874,1.658088845526912,1.7347954301009696,1.2691806580688576,2.6550813516829925,2.5511432653578354
20,28.39209385744365,8.781089796768548,14.966288897489818,7.755106198265195,3.185178266944813,2.384997611920323,4.277932722274485,3.4619781966425225,2.813297162918385,1.6991590403731816,1.7367449625811555,1.2608537034058964,2.116784053473199,2.487077178929118
21,29.359690945492456,8.64873350419448,14.74882347151896,7.977001438528175,3.2230003365475395,2.39021651642225,4.48730042210677,3.360409805136973,2.9036007422544645,1.7741380188059133,1.7332015603692277,1.24422221549712,1.945338454033108,2.3806973954907704
22,28.645971422121207,8.316895656565984,14.554791153922638,7.695724499621543,3.0835248415083196,2.275411464042353,4.302939433985154,3.5135020511128134,2.849082414583505,1.7440815728507832,1.7352538652823384,1.3119183924361342,2.130811046874246,2.263645930383693
23,28.671541240441854,8.17252136451619,14.449757062424794,7.616284744301883,3.0320176012289015,2.29985056472637,4.15194259040782,3.36396592428267,2.8224170885961577,1.724051661688595,1.7674660674768128,1.293582220668347,2.3771411411242354,2.3195761736216194
24,28.671755515726716,8.193455329314787,14.537718170598247,7.496083232795771,3.084149639467492,2.2786782800680494,4.084527475336297,3.1900957702514394,2.8295896306208523,1.7231815899280454,1.845167459750487,1.2787517658631253,2.3503237372480714,2.3229122615688254
25,29.1796999424043,7.8720447269006915,15.626941030209284,7.5873362825805355,2.840205445024204,2.119664860123102,3.969779698887667,3.30519540150091,2.8319887941860253,1.7581994219832944,1.7266724459162577,1.310470761329499,1.9965825228960514,2.1448023740118525
26,28.13163852203811,7.683982514267104,15.492454442444137,7.127255124094724,2.6966328433431523,1.8984031704146156,3.7629992761816022,3.269724743721212,2.778769617679619,1.705394374903704,1.9280112706314774,1.393527984436723,2.3538835822055977,2.2495854200450474
27,26.489020460062772,8.11497819225436,15.041287795582662,6.414174131074518,2.5746458199650295,1.8662032521739202,3.355013654384345,3.1882833411948663,2.593942958755094,1.630372698748363,1.9475411191051482,1.4752974713660176,2.2333361590162695,2.443870330015359
28,28.444158895928545,8.219315430996819,15.12595403219293,6.959845069708888,2.80864288413727,1.8960530128667028,3.3905980859140885,2.852962295076837,2.8226051687057345,1.780310389015852,1.9517451287350325,1.572588359744714,1.7442529523146197,2.5401876852214675
